猿 &&は バナナ &&を 食べる, 1
猫 &&は バナナ &&を 食べる, 0
猫 &&はコーヒー &&を 飲む, 0
ネズミ &&はチーズ &&を 食べる, 1
猿 &&は ネズミ &&を 食べる, 0
&&&#127863;&#127863;&#127863;&#127863; &&5杯の &&ワイン?, 0
&&３杯の コーヒー, 1
&&二杯の ビール, 1
二杯のビール + ３杯のビール　=　5杯のビール, 1
ティラノサウルスはチーズを食べる, 0
猿はティラノサウルスを飲む, 0
小さいくて白い猫は大きい, 0
コーヒーは赤い, 0
ドラキュラは大きい猫だ, 0
1匹の猫　+ 2匹の猫　= 3匹の猫, 1
大きい猫は小さいネズミを食べる, 1
二杯の大きいビール, 0
一匹のネズミ　+ 二匹のネズミ= 三匹のねずみ, 1
赤くて大きいサンタ, 0
小さくて赤いティラノサウルスだ, 0
二匹の猫　+ 二匹の猫　= 四匹の猫, 1
チャック・ノリスは強い, 1
ピエロは白くて楽しい, 1
サンタは大きくて怖い, 0
ドラクラは[私はチーズだ]という, 0
強い　+ 怖い　= 楽しい, 0
3匹の白くて小さくて楽しいネズミはチーズを食べる, 1
カエル &&は $$怖くない_怖い, 0
ガンダルフ &&は[私は楽しくないカエルだ]という, 0
カエル &&は[ ケロケロ &&] という, 1
ネズミ &&は[ニヤニヤ]という, 0
猫は[ニヤニヤ]という, 1
カープでチョコレートケーキを食べる, 0
カープでコーヒーを飲む, 1
サンタはネズミケーキを食べる, 0
ネズミはチーズを大好き, 1
大きくて強いティラノサウルスは猫を食べる, 1
好き　<　大好き, 1
猿はバナナが好き, 1
ドラキュラは赤い飲み物をのむ, 1
1杯のビル　+ 1杯のワイン　= 2杯の飲み物, 1
チーズやケーキやバナナは飲み物だ, 1
サンタやチャック・ノリスやピエロは人だ, 1
ネズミや猿や猫やカエルは動物だ, 1
ニューヨークには動物や人がいる, 1
ニューヨークには飲み物や食べ物がある, 1
白いワインは食べ物だ, 0
チョコレートケーキは食べ物だ, 1
白い猫は[食べ物が好き]という, 1
えもじ+ 物や食べ物や飲み物がある, 1
人や動物がいる, 1
小さい猫は危ない, 0
アメリカで大きい犬がある, 1
イギリスで赤い猿がある, 0
チャック・ノリスはネズミがいる　= チャック・ノリスはネズミ, 0
サンタは危ない, 1
チョコレートケッキはおいしくない, 0
虎は大きい猫だ, 1
イタリアにはワインがある, 1
赤いワイン　+  白いワイン　= 緑ワイン, 0
アメリカには大きいダイヤモンドは10ドルを買う, 0
大きくて赤い車を25ﾕｰﾛを買う, 0
Lady ggは日本人だ, 0
猫は虎を食べる, 0
魚は猫を食べる, 0
魚は川で泳ぐ, 1
小さくて楽しくて白いネズミはチーズを食べない, 0
日本の国旗は緑と白い色, 0
日本の国旗は白くなくて赤くない, 1
魚は電車で泳ぐ, 0 
魚はｲﾀﾘｱに泳がない, 0
アメリカには左側に車を乗る, 0
Eurostaはパリからロンドンに行く, 1
火は危ない, 1
揺れいは火を食べる, 0
サンタはchristamtreeの下はにプレゼント, 0
Australia には左側に車を乗る, 0
